$contributor.employer.matched
                                                   (Intercept)    cycle2020
ALLIANCE MEDICAL CORP                             0.1639952317 0.0004838053
ALLIANCE RECOVERY CORP                            0.9585460050 0.0004838053
ALLIANCE RESOURCE PARTNERS LP                    -0.1858545802 0.0004838053
ALLIANCE RESOURCES CORP                          -0.1344030597 0.0004838053
ALLIANT ENERGY CORP                               0.2621613950 0.0004838053
ALLIANZ SE                                       -0.2355185934 0.0004838053
Allied Corp.                                     -0.0209843625 0.0004838053
ALLIED DIGITAL INC                                0.0459435745 0.0004838053
ALLIED ENERGY Corp                                0.4330054022 0.0004838053
ALLIED GROUP INC                                  0.1092438871 0.0004838053
ALLIED HEALTHCARE PRODUCTS INC                    0.5298571732 0.0004838053
ALLIED IRISH BANKS PLC                           -0.0398330746 0.0004838053
ALLIED RESOURCES INC                             -0.2659150519 0.0004838053
ALLIED SECURITY INC                              -0.1257940680 0.0004838053
ALLIED VAN LINES INC                             -0.1553193676 0.0004838053
Allies Ltd                                       -0.1626506602 0.0004838053
Allogene Therapeutics, Inc.                      -0.2713339018 0.0004838053
Allot Ltd.                                       -0.1542506764 0.0004838053
ALLOY INC                                        -0.2271195629 0.0004838053
ALLSTATE CORP                                    -0.2467364021 0.0004838053
ALLSTATE FINANCIAL CORP                          -0.1371576062 0.0004838053
ALLSTATES WORLDCARGO INC                         -0.5003176002 0.0004838053
ALLSTREAM INC                                    -0.1828447473 0.0004838053
ALLTEL CORP                                       0.2236527557 0.0004838053
ALLURION TECHNOLOGIES, INC.                      -0.2689058612 0.0004838053
ALLWASTE INC                                     -0.2933385320 0.0004838053
Ally Financial Inc.                              -0.2664719843 0.0004838053
Alma Lasers Ltd.                                 -0.3084588824 0.0004838053
Almonty Industries Inc.                           1.6606072629 0.0004838053
ALMOST FAMILY INC                                -0.1018005307 0.0004838053
ALNYLAM PHARMACEUTICALS, INC.                    -0.2275940750 0.0004838053
ALOETTE COSMETICS INC                             0.5112036899 0.0004838053
Aloha Petroleum, Ltd.                            -0.2036854646 0.0004838053
ALPHA & OMEGA SEMICONDUCTOR Ltd                   0.7797690451 0.0004838053
ALPHA GENERATION INC                             -0.1765859766 0.0004838053
