$contributor.employer.matched
                                              (Intercept)  cycle2020
Diamond Lane, Inc.                          -0.4839896593 0.07838961
DIEBOLD NIXDORF, Inc                        -0.4471117942 0.07838961
DIGI INTERNATIONAL INC                      -0.3538961732 0.07838961
DIGIMARC CORP                               -0.4152262126 0.07838961
DIGITAL LINK CORP                           -0.4944116551 0.07838961
Digital Systems, Inc.                       -0.4899051596 0.07838961
Diligent Corp                               -0.4763908771 0.07838961
DIRTT ENVIRONMENTAL SOLUTIONS LTD           -0.4502315141 0.07838961
DISH LTD                                    -0.5146699043 0.07838961
DIVX INC                                    -0.5745721916 0.07838961
DMI INC /CO/                                -0.4966849309 0.07838961
Docebo Inc.                                 -0.5368671253 0.07838961
DOCUSIGN, INC.                              -0.4813715639 0.07838961
DOMO, INC.                                  -0.4292232980 0.07838961
DOT HILL SYSTEMS CORP                        0.1117296067 0.07838961
Dot VN, Inc.                                -0.4253757607 0.07838961
Doximity, Inc.                              -0.4584110447 0.07838961
DRI CORP                                    -0.3197868470 0.07838961
DROPBOX, INC.                               -0.4760659123 0.07838961
DRS COMMUNICATIONS CO LLC                   -0.4343515815 0.07838961
DRS TECHNOLOGIES INC                         0.1081213092 0.07838961
DRS TEST & ENERGY MANAGEMENT INC             1.7390404342 0.07838961
DSC Holdings Ltd.                           -0.1589878139 0.07838961
DSP COMMUNICATIONS INC                      -0.4478248358 0.07838961
DUCK CREEK TECHNOLOGIES, INC.               -0.5044884115 0.07838961
Duolingo, Inc.                              -0.4976780518 0.07838961
DYNAMIC MEDIA INC                           -0.5175518815 0.07838961
DYNATEC INTERNATIONAL INC                   -0.3941534034 0.07838961
Dynatrace, Inc.                             -0.4283288423 0.07838961
DZS INC.                                    -0.5888828974 0.07838961
E DIGITAL CORP                              -0.4479421711 0.07838961
E SYSTEMS INC                               -0.4881477670 0.07838961
E2open Inc                                  -0.3567293870 0.07838961
E3 CORP                                     -0.4837323084 0.07838961
EAGLE POINT SOFTWARE CORP                   -0.5059413773 0.07838961
