$contributor.employer.matched
                                              (Intercept)  cycle2020
DRS TEST & ENERGY MANAGEMENT INC             1.7393331074 0.07838962
DSC Holdings Ltd.                           -0.1588496720 0.07838962
DSP COMMUNICATIONS INC                      -0.4478438878 0.07838962
DUCK CREEK TECHNOLOGIES, INC.               -0.5044913726 0.07838962
Duolingo, Inc.                              -0.4976806160 0.07838962
DYNAMIC MEDIA INC                           -0.5176292486 0.07838962
DYNATEC INTERNATIONAL INC                   -0.3941338648 0.07838962
Dynatrace, Inc.                             -0.4283298868 0.07838962
DZS INC.                                    -0.5889684283 0.07838962
E DIGITAL CORP                              -0.4479612902 0.07838962
E SYSTEMS INC                               -0.4881654249 0.07838962
E2open Inc                                  -0.3567287763 0.07838962
E3 CORP                                     -0.4837351173 0.07838962
EAGLE POINT SOFTWARE CORP                   -0.5060091296 0.07838962
EARTHWATCH INC                              -0.3628141530 0.07838962
EBIX INC                                    -0.4208932496 0.07838962
ECHELON CORP                                -0.5010006130 0.07838962
ECI TELECOM LTD/                            -0.3662278819 0.07838962
Ecoss Inc.                                  -0.5479449257 0.07838962
ECST Holdings Ltd                           -0.1652478843 0.07838962
EdgeWave, Inc.                              -0.5563023064 0.07838962
EDIFY CORP                                  -0.1394119755 0.07838962
EDO CORP                                    -0.3967723632 0.07838962
EDOCS INC                                   -0.5437708575 0.07838962
EF Johnson Technologies, Inc.               -0.4793104746 0.07838962
EGAIN Corp                                  -0.5410074363 0.07838962
Egenera, Inc.                               -0.5151636698 0.07838962
EIDOS PLC                                   -0.5219780474 0.07838962
ELCO Management Co., LLC                    -0.4190981848 0.07838962
ELECSYS CORP                                -0.7091804280 0.07838962
ELECTRONIC ARTS INC.                        -0.5269009761 0.07838962
ELECTRONICS FOR IMAGING INC                 -0.4773124093 0.07838962
ELLIE MAE INC                               -0.4648855965 0.07838962
EMAGIN CORP                                 -0.5601881294 0.07838962
EMBARCADERO TECHNOLOGIES INC                -0.1653767915 0.07838962
EMC CORP                                    -0.4533419735 0.07838962
EMCORE CORP                                 -0.3398399721 0.07838962
eMedia Group Inc.                           -0.3751982791 0.07838962
EMR Technology Solutions, Inc.              -0.4449269556 0.07838962
