$contributor.employer.matched
                                                   (Intercept)    cycle2020
ALEXANDERS INC                                   -0.3787308702 0.0004840761
ALEXANDRIA REAL ESTATE EQUITIES, INC.             0.3180207142 0.0004840761
ALEXION PHARMACEUTICALS, INC.                    -0.2416974533 0.0004840761
ALFA CORP                                         0.0464249062 0.0004840761
Alfi, Inc.                                        0.0451047665 0.0004840761
Alibaba Group Holding Ltd                        -0.2883852875 0.0004840761
ALIBRIS INC                                      -0.2813618198 0.0004840761
ALICO, INC.                                       0.0490947906 0.0004840761
Alien Technology Corp                             0.0936766033 0.0004840761
ALIGN TECHNOLOGY INC                             -0.1808019749 0.0004840761
Alignment Healthcare, Inc.                        0.1004417388 0.0004840761
Aligos Therapeutics, Inc.                        -0.3603470740 0.0004840761
ALIMENTATION COUCHE TARD INC                      1.2725244295 0.0004840761
ALIMERA SCIENCES INC                              0.2881266107 0.0004840761
ALJ REGIONAL HOLDINGS INC                         0.1909571705 0.0004840761
ALKAMI TECHNOLOGY, INC.                          -0.2761199165 0.0004840761
ALKERMES INC                                     -0.1133216101 0.0004840761
ALLAIRE CORP                                     -0.1768763067 0.0004840761
Allakos Inc.                                     -0.3993795041 0.0004840761
ALLBRITTON COMMUNICATIONS CO                     -0.0951998502 0.0004840761
ALLEGIANCE CORP                                  -0.3124357392 0.0004840761
ALLEGIANCY, LLC                                   0.1251666217 0.0004840761
Allegiant Travel CO                               0.4404390303 0.0004840761
Allegion plc                                     -0.2276854003 0.0004840761
ALLEGRO MICROSYSTEMS, INC.                       -0.0439289097 0.0004840761
Allegro Ophthalmics, LLC                         -0.0979914805 0.0004840761
ALLEN ENERGY CO                                   1.3132895747 0.0004840761
ALLEN ORGAN CO                                   -0.0265474267 0.0004840761
Allena Pharmaceuticals, Inc.                     -0.2298125640 0.0004840761
ALLERGAN INC                                     -0.1617703488 0.0004840761
ALLERGY RESEARCH GROUP INC                       -0.1723384769 0.0004840761
ALLETE INC                                       -0.1835275254 0.0004840761
ALLIANCE ENTERTAINMENT CORP                      -0.3379419912 0.0004840761
ALLIANCE FINANCIAL CORP                          -0.2632959909 0.0004840761
ALLIANCE HEALTH INC                              -0.2450543807 0.0004840761
Alliance HealthCare Services, Inc                -0.3384208418 0.0004840761
ALLIANCE HOLDING CO                              -0.4980889310 0.0004840761
ALLIANCE LAUNDRY CORP                             0.0249192051 0.0004840761
ALLIANCE LAUNDRY SYSTEMS LLC                      0.0140485782 0.0004840761
ALLIANCE MEDICAL CORP                             0.1639991348 0.0004840761
ALLIANCE RECOVERY CORP                            0.9585861386 0.0004840761
ALLIANCE RESOURCE PARTNERS LP                    -0.1858577264 0.0004840761
ALLIANCE RESOURCES CORP                          -0.1344095822 0.0004840761
ALLIANT ENERGY CORP                               0.2621609733 0.0004840761
ALLIANZ SE                                       -0.2355412996 0.0004840761
Allied Corp.                                     -0.0209849756 0.0004840761
ALLIED DIGITAL INC                                0.0459468058 0.0004840761
ALLIED ENERGY Corp                                0.4330898422 0.0004840761
ALLIED GROUP INC                                  0.1092485997 0.0004840761
ALLIED HEALTHCARE PRODUCTS INC                    0.5299570569 0.0004840761
ALLIED IRISH BANKS PLC                           -0.0398294914 0.0004840761
