$contributor.employer.matched
                                                   (Intercept)  cycle2020
ALNYLAM PHARMACEUTICALS, INC.                    -0.4134505234 0.08296006
ALOETTE COSMETICS INC                             0.3401665419 0.08296006
Aloha Petroleum, Ltd.                            -0.3051987794 0.08296006
ALPHA & OMEGA SEMICONDUCTOR Ltd                   0.5881464751 0.08296006
ALPHA GENERATION INC                             -0.3554106794 0.08296006
Alpha Natural Resources, Inc.                     0.0522561435 0.08296006
Alpha One Inc.                                   -0.4450638395 0.08296006
Alpha Teknova, Inc.                              -0.4707620973 0.08296006
alpha-En Corp                                    -0.2194624749 0.08296006
Alphabet Inc.                                    -0.3099319629 0.08296006
ALPHATECH INC                                    -0.2538380038 0.08296006
Alpine Acquisition Corp.                         -0.3686701953 0.08296006
Alpine Electronics, Inc.                         -0.1617078569 0.08296006
ALPINE IMMUNE SCIENCES, INC.                     -0.3585463000 0.08296006
ALPS ALPINE CO., LTD.                            -0.3221882208 0.08296006
Alps Electric Co Ltd                             -0.3968043177 0.08296006
ALR TECHNOLOGIES INC.                            -0.4135017266 0.08296006
Alset Inc.                                       -0.6096242223 0.08296006
ALSTOM                                           -0.4506995152 0.08296006
Alta Mesa Holdings, LP                            0.3751258668 0.08296006
AltaGas Ltd.                                     -0.3574305000 0.08296006
Altair Engineering Inc.                          -0.3645839556 0.08296006
ALTERA CORP                                      -0.3196863563 0.08296006
ALTERITY THERAPEUTICS LTD                        -0.2928690340 0.08296006
Alternate Energy Solutions, Inc.                 -0.2596976546 0.08296006
Alternative Energy Development Corp              -0.3298653422 0.08296006
ALTERRA HEALTHCARE CORP                          -0.4933844118 0.08296006
Alteryx, Inc.                                    -0.3447457071 0.08296006
ALTEVA, INC.                                     -0.3326983709 0.08296006
ALTEX INDUSTRIES INC                             -0.3542091611 0.08296006
AltheaDx, Inc.                                   -0.4547510201 0.08296006
ALTIGEN COMMUNICATIONS INC                       -0.3508493935 0.08296006
