$contributor.employer.matched
                                                   (Intercept)  cycle2020
ALIBRIS INC                                      -0.4103748886 0.08296017
ALICO, INC.                                      -0.1090456581 0.08296017
Alien Technology Corp                            -0.0667148884 0.08296017
ALIGN TECHNOLOGY INC                             -0.3530962416 0.08296017
Alignment Healthcare, Inc.                       -0.0486325135 0.08296017
Aligos Therapeutics, Inc.                        -0.5153926934 0.08296017
ALIMENTATION COUCHE TARD INC                      1.1560383307 0.08296017
ALIMERA SCIENCES INC                              0.1475149878 0.08296017
ALJ REGIONAL HOLDINGS INC                        -0.1397380453 0.08296017
ALKAMI TECHNOLOGY, INC.                          -0.4414614539 0.08296017
ALKERMES INC                                     -0.2923113809 0.08296017
ALLAIRE CORP                                     -0.3305900253 0.08296017
Allakos Inc.                                     -0.6265288310 0.08296017
ALLBRITTON COMMUNICATIONS CO                     -0.2592760461 0.08296017
ALLEGIANCE CORP                                  -0.4611522081 0.08296017
ALLEGIANCY, LLC                                  -0.0334348323 0.08296017
Allegiant Travel CO                               0.1339454512 0.08296017
Allegion plc                                     -0.3857051633 0.08296017
ALLEGRO MICROSYSTEMS, INC.                       -0.2244692703 0.08296017
Allegro Ophthalmics, LLC                         -0.2381336240 0.08296017
ALLEN ENERGY CO                                   1.1423392339 0.08296017
ALLEN ORGAN CO                                   -0.1845077061 0.08296017
Allena Pharmaceuticals, Inc.                     -0.3916346752 0.08296017
ALLERGAN INC                                     -0.3043197663 0.08296017
ALLERGY RESEARCH GROUP INC                       -0.3208782614 0.08296017
ALLETE INC                                       -0.3773875353 0.08296017
ALLIANCE ENTERTAINMENT CORP                      -0.4654745882 0.08296017
ALLIANCE FINANCIAL CORP                          -0.4183866108 0.08296017
ALLIANCE HEALTH INC                              -0.3813155569 0.08296017
Alliance HealthCare Services, Inc                -0.4545533912 0.08296017
ALLIANCE HOLDING CO                              -0.6550704200 0.08296017
ALLIANCE LAUNDRY CORP                            -0.1216082613 0.08296017
ALLIANCE LAUNDRY SYSTEMS LLC                     -0.1269074898 0.08296017
ALLIANCE MEDICAL CORP                             0.0137154241 0.08296017
ALLIANCE RECOVERY CORP                            0.8078560095 0.08296017
ALLIANCE RESOURCE PARTNERS LP                    -0.4567843561 0.08296017
ALLIANCE RESOURCES CORP                          -0.2983550301 0.08296017
ALLIANT ENERGY CORP                               0.0846631528 0.08296017
ALLIANZ SE                                       -0.3981651956 0.08296017
Allied Corp.                                     -0.1686564384 0.08296017
ALLIED DIGITAL INC                               -0.1104491266 0.08296017
ALLIED ENERGY Corp                                0.2675575702 0.08296017
ALLIED GROUP INC                                 -0.0291570222 0.08296017
ALLIED HEALTHCARE PRODUCTS INC                    0.3583981374 0.08296017
ALLIED IRISH BANKS PLC                           -0.1959532697 0.08296017
ALLIED RESOURCES INC                             -0.4215004432 0.08296017
ALLIED SECURITY INC                              -0.2653515858 0.08296017
ALLIED VAN LINES INC                             -0.3051630182 0.08296017
Allies Ltd                                       -0.3170130482 0.08296017
Allogene Therapeutics, Inc.                      -0.4518947496 0.08296017
Allot Ltd.                                       -0.3126315550 0.08296017
ALLOY INC                                        -0.3836651686 0.08296017
ALLSTATE CORP                                    -0.3978225862 0.08296017
ALLSTATE FINANCIAL CORP                          -0.2922478992 0.08296017
ALLSTATES WORLDCARGO INC                         -0.5956566348 0.08296017
ALLSTREAM INC                                    -0.3286278797 0.08296017
ALLTEL CORP                                      -0.0535537256 0.08296017
ALLURION TECHNOLOGIES, INC.                      -0.5010236733 0.08296017
ALLWASTE INC                                     -0.4021868937 0.08296017
Ally Financial Inc.                              -0.4123571041 0.08296017
Alma Lasers Ltd.                                 -0.4294706505 0.08296017
Almonty Industries Inc.                           1.5888701624 0.08296017
ALMOST FAMILY INC                                -0.2688625524 0.08296017
ALNYLAM PHARMACEUTICALS, INC.                    -0.4134512369 0.08296017
ALOETTE COSMETICS INC                             0.3402682773 0.08296017
Aloha Petroleum, Ltd.                            -0.3051997586 0.08296017
ALPHA & OMEGA SEMICONDUCTOR Ltd                   0.5882899909 0.08296017
ALPHA GENERATION INC                             -0.3554262776 0.08296017
Alpha Natural Resources, Inc.                     0.0522662287 0.08296017
Alpha One Inc.                                   -0.4450687048 0.08296017
Alpha Teknova, Inc.                              -0.4707970420 0.08296017
alpha-En Corp                                    -0.2194551753 0.08296017
Alphabet Inc.                                    -0.3099320665 0.08296017
ALPHATECH INC                                    -0.2538364776 0.08296017
Alpine Acquisition Corp.                         -0.3686879351 0.08296017
Alpine Electronics, Inc.                         -0.1617052904 0.08296017
ALPINE IMMUNE SCIENCES, INC.                     -0.3585482578 0.08296017
ALPS ALPINE CO., LTD.                            -0.3221953523 0.08296017
Alps Electric Co Ltd                             -0.3968269486 0.08296017
ALR TECHNOLOGIES INC.                            -0.4135085164 0.08296017
Alset Inc.                                       -0.6096824652 0.08296017
ALSTOM                                           -0.4507002261 0.08296017
Alta Mesa Holdings, LP                            0.3752334635 0.08296017
AltaGas Ltd.                                     -0.3574464912 0.08296017
Altair Engineering Inc.                          -0.3645842589 0.08296017
ALTERA CORP                                      -0.3196868471 0.08296017
ALTERITY THERAPEUTICS LTD                        -0.2928741535 0.08296017
Alternate Energy Solutions, Inc.                 -0.2596971660 0.08296017
Alternative Energy Development Corp              -0.3298766508 0.08296017
ALTERRA HEALTHCARE CORP                          -0.4934231592 0.08296017
Alteryx, Inc.                                    -0.3447458983 0.08296017
ALTEVA, INC.                                     -0.3327101158 0.08296017
ALTEX INDUSTRIES INC                             -0.3542203426 0.08296017
AltheaDx, Inc.                                   -0.4547692523 0.08296017
ALTIGEN COMMUNICATIONS INC                       -0.3508551792 0.08296017
