$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
CELESTICA INC                               -0.439219850 0.1212588 -0.004727251
CERAGON NETWORKS LTD                        -0.555850469 0.1212588 -0.004727251
Cerebras Systems Inc.                       -0.579103911 0.1212588 -0.004727251
Cerence Inc.                                -0.580324606 0.1212588 -0.004727251
CERNER Corp                                 -0.596837058 0.1212588 -0.004727251
Certara, Inc.                               -0.580979325 0.1212588 -0.004727251
CEVA INC                                    -0.479766803 0.1212588 -0.004727251
CHANNELADVISOR CORP                         -0.646076308 0.1212588 -0.004727251
CHANNELL COMMERCIAL CORP                    -0.504318005 0.1212588 -0.004727251
CHECK POINT SOFTWARE TECHNOLOGIES LTD       -0.623440849 0.1212588 -0.004727251
CHECKPOINT SYSTEMS INC                      -0.550694677 0.1212588 -0.004727251
China Inc                                   -0.682558577 0.1212588 -0.004727251
CI&T Inc                                    -0.605530848 0.1212588 -0.004727251
CICERO INC                                  -0.319956482 0.1212588 -0.004727251
CIDRA CORP                                  -0.683573750 0.1212588 -0.004727251
CIENA CORP                                  -0.554078913 0.1212588 -0.004727251
CIMETRIX INC                                -0.404892627 0.1212588 -0.004727251
CIRCUIT SYSTEMS INC                          0.156875646 0.1212588 -0.004727251
CIRRUS LOGIC, INC.                          -0.515376292 0.1212588 -0.004727251
CISCO SYSTEMS, INC.                         -0.430592475 0.1212588 -0.004727251
CISION LTD.                                 -0.609785284 0.1212588 -0.004727251
CITRIX SYSTEMS INC                          -0.572649215 0.1212588 -0.004727251
CLARE INC                                   -0.621403031 0.1212588 -0.004727251
CLARIFY INC                                 -0.603094259 0.1212588 -0.004727251
Clear Secure, Inc.                          -0.528070900 0.1212588 -0.004727251
Clearfield, Inc.                            -0.626204859 0.1212588 -0.004727251
CLEARONE INC                                -0.856022158 0.1212588 -0.004727251
CLINICAL INTELLIGENCE INC                   -0.144079576 0.1212588 -0.004727251
Cloudera, Inc.                              -0.568628550 0.1212588 -0.004727251
Cloudflare, Inc.                            -0.571085535 0.1212588 -0.004727251
CloudMinds Inc.                             -0.533421871 0.1212588 -0.004727251
CLPS Inc                                    -0.591625315 0.1212588 -0.004727251
CMC INDUSTRIES INC                          -0.674847090 0.1212588 -0.004727251
CMC Materials, Inc.                         -0.677127043 0.1212588 -0.004727251
CNF TECHNOLOGIES INC                        -0.626584011 0.1212588 -0.004727251
COBRA ELECTRONICS CORP                      -0.469244827 0.1212588 -0.004727251
